input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,content_type,tls_subject_org_,csp_domains_,final_url,tls_mismatched
"https://track.customer.io
",Customer.io API,200,1094,track.customer.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T02:24:46Z,2023-08-06T03:17:38Z,CN=api.customer.io,api.customer.io,edge-west-2.customer.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,df65db25c4cd7d87beb102063c95a003,112a3f36f865cd4942b2de419d511c9a1ff3e3b95591119141bca06c8475d7dc,ctls,track.customer.io,google,443,https://track.customer.io:443,https,,GET,35.227.225.220,/,2115503941,35.227.225.220,HTTP/3,48,False,True,,text/html,,,,
"https://us-u.openx.net
",,200,516,us-u.openx.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=*.openx.net, O=OpenX Technologies\, Inc., L=Pasadena, ST=CALIFORNIA, C=US",*.openx.net,openx.net,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,35cacb31f28ed7457604334b2984a49d,7286651bfef5bbf75b66ed977b422ea76f831a0952dcd8f3d7c7850cc753dd6c,ctls,us-u.openx.net,google,443,https://us-u.openx.net:443,https,OXGW/0.0.0,GET,34.98.64.218,/,372087685,35.244.159.8,HTTP/3,17,False,True,True,text/html,"OpenX Technologies, Inc.",,,
"https://www.facebook.com
",Error,200,35330,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-05-22T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,f5fc3bba0f418cbedab48be5c3dfa0f4,d36845d603545547aca7f4a9f22c3ec33109e282ffbe4840a143fc8c9e67a260,ctls,m.facebook.com,,443,https://www.facebook.com:443,https,,GET,157.240.251.35,/,142313513,2a03:2880:f108:83:face:b00c:0:25de,HTTP/3,14,False,,True,text/html,"Meta Platforms, Inc.",https://sandbox.paywithmybank.com,https://m.facebook.com/?wtsid=rdr_0IK97NO3qIcVt1Ll3,
"https://www.google-analytics.com
",Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,sffe,GET,172.217.18.14,/,302920777,2a00:1450:4001:800::200e,HTTP/3,1831,False,,True,text/html,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,
"https://www.gravatar.com
",Gravatar - Globally Recognized Avatars,200,83305,en.gravatar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,CN=*.gravatar.com,*.gravatar.com,gravatar.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,eab84d628994346ce07e523bf9941866,3707397f4d5cdabfe11c2949663fff5dfe2ca29ec27dadbc6232ceb38f5738af,ctls,en.gravatar.com,,443,https://www.gravatar.com:443,https,nginx,GET,192.0.73.2,/,73337656,2a04:fa87:fffe::c000:4902,WordPress,741,False,,True,text/html,,https://videos.files.wordpress.com/,https://en.gravatar.com/,
"https://www.mapbox.com
","Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,224160,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,443,https://www.mapbox.com:443,https,,GET,199.232.192.143,/,1556104729,199.232.196.143,Webflow,2201,False,True,,text/html,,https://webflow.com,,
"https://www.quantserve.com
",Quantcast,200,295,www.quantserve.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=*.quantserve.com, O=Quantcast Corporation, L=San Francisco, ST=California, C=US",*.quantserve.com,*.quantcount.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e557e57cdfeca43511c080ee6a8bd9c3,245aae8a7b79fa825dc7ace84719191f65425256835a7a549dce58de82667204,ctls,www.quantserve.com,,443,https://www.quantserve.com:443,https,,GET,91.228.74.251,/,428165606,2620:116:800d:21:7eb1:3826:be7e:d981,,10,False,,True,text/html,Quantcast Corporation,,,
"https://x.bidswitch.net
",,404,9,x.bidswitch.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-23T00:00:00Z,2024-03-23T23:59:59Z,CN=*.bidswitch.net,*.bidswitch.net,bidswitch.net,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3c7999d983ead641a0e340cd9709889e,528621f41bdbb0696b21d4623da88f908439635531dbd11d7d23605f9a672f0a,ctls,x.bidswitch.net,,443,https://x.bidswitch.net:443,https,,GET,3.68.23.39,/,-738705486,3.73.102.15,,1,False,,True,,,,,
js.mapbox.com,,403,243,js.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b09cc4fe753ed7684dd38ddfa901b584,5bb4b8d92ffc3c8d3bde96dbdb6b43a38d1827d47ac97293ad34eeb2c3d3e4c7,ctls,js.mapbox.com,cloudfront,443,https://js.mapbox.com:443,https,AmazonS3,GET,52.222.214.50,/,2062342253,52.222.214.44,HTTP/3,2,False,True,True,application/xml,,,,
labs.mapbox.com,Page not found | Mapbox,404,2239,labs.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-05T23:59:59Z,CN=*.mapbox.com,*.mapbox.com,mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b09cc4fe753ed7684dd38ddfa901b584,5bb4b8d92ffc3c8d3bde96dbdb6b43a38d1827d47ac97293ad34eeb2c3d3e4c7,ctls,labs.mapbox.com,cloudfront,443,https://labs.mapbox.com:443,https,AmazonS3,GET,65.9.95.57,/,-1845933528,65.9.95.125,HTTP/3,59,False,True,True,text/html,,,,
mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,224160,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,80,http://mapbox.com:80,http,,GET,151.101.0.143,/,1556104729,151.101.192.143,Webflow,2201,False,True,,text/html,,http://webflow.com,https://www.mapbox.com/,
osmcha.mapbox.com,OSMCha,200,4055,osmcha.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-12-16T23:59:59Z,CN=osmcha.org,osmcha.org,*.osmcha.org,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d3ccc386ea9bb05d0505c5e90ba8bbba,a85fe3854effd4de7fa4b9ffa768fa0bd79b0bd49526959834b1f29d07681a12,ctls,osmcha.org,,443,https://osmcha.mapbox.com:443,https,nginx/1.18.0 (Ubuntu),GET,3.234.157.12,/,1556152585,54.84.181.223,Ubuntu,1,False,,True,text/html,,,https://osmcha.org/,
platform-docs-feedback-staging.mapbox.com,,403,42,platform-docs-feedback-staging.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-10-08T23:59:59Z,CN=platform-docs-feedback-staging.mapbox.com,platform-docs-feedback-staging.mapbox.com,platform-docs-feedback-staging.mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,86ac57dedf78bb63d57cd9ecb805bb1c,6c0a773f936d4cfdcd1db9330cf25417a6049e6c2359c58e71f2ee43b03febb9,ctls,platform-docs-feedback-staging.mapbox.com,,443,https://platform-docs-feedback-staging.mapbox.com:443,https,,GET,18.214.221.86,/,768769774,44.196.186.182,,1,False,,,application/json,,,,
platform.mapbox.com,mapbox - Sign In,200,16996,mapbox.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,mapbox.okta.com,,443,https://platform.mapbox.com:443,https,nginx,GET,34.206.112.61,/,-1617050726,18.211.14.133,Nginx,476,False,,True,text/html,"Okta, Inc.",mapbox.kerberos.okta.com,https://mapbox.okta.com/login/login.htm?fromURI=/oauth2/v1/authorize/redirect?okta_key=aOfshw7fa-RmH8LrDwP4xE0zYBiz0Z3qaOLlMhCQYyM,
production.bob-the-builder.mapbox.com,,403,42,production.bob-the-builder.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-06T00:00:00Z,2024-02-04T23:59:59Z,CN=production.bob-the-builder.mapbox.com,production.bob-the-builder.mapbox.com,production.bob-the-builder.mapbox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3c9f1a24efb4c4165df8f517cfdf0863,cc3ba68c96e0a200762ba63289430c030b3df6824c5feb8ee753875d2dd6b530,ctls,production.bob-the-builder.mapbox.com,,443,https://production.bob-the-builder.mapbox.com:443,https,,GET,54.164.243.222,/,768769774,18.232.228.72,,1,False,,,application/json,,,,
sites.mapbox.com,mapbox - Sign In,200,17142,mapbox.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,mapbox.okta.com,,443,https://sites.mapbox.com:443,https,nginx,GET,52.5.169.80,/,284103057,34.206.112.61,Nginx,474,False,,True,text/html,"Okta, Inc.",https://oinmanager.okta.com,https://mapbox.okta.com/login/login.htm?fromURI=/oauth2/v1/authorize/redirect?okta_key=3CdX84GaXGTfFrijAZzG7rzpNO5VSCgE45K7A3m_CPc,
snap.api.mapbox.com,,200,16,snap.api.mapbox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-04T23:59:59Z,CN=api.mapbox.com,api.mapbox.com,d.api.mapbox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16d99d8a326184881bfa4485cf3416ab,082025318d715ef6d9b6c0c4b60ed36c3ce6f52b4fdbf3e64e33122beeb982f0,ctls,snap.api.mapbox.com,cloudfront,443,https://snap.api.mapbox.com:443,https,CloudFront,GET,13.224.191.114,/,-1840324437,13.224.191.114,Amazon Web Services,1,False,True,,,,,,
snap.events.mapbox.com,,200,11,snap.events.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-31T00:00:00Z,2023-11-01T23:59:59Z,"CN=snap.events.mapbox.com, O=Mapbox Inc., L=Washington, ST=District of Columbia, C=US",snap.events.mapbox.com,www.snap.events.mapbox.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0212626fd5f4f2c918d08545fafe336b,1906565bcb0fd8d8a704d4d125ca03c62294f5216bf3b9c7192b85609316b365,ctls,snap.events.mapbox.com,,443,https://snap.events.mapbox.com:443,https,,GET,3.214.95.153,/,631524574,34.196.55.148,Node.js,1,False,,,application/json,Mapbox Inc.,,,
status.mapbox.com,Mapbox Status,200,69112,status.mapbox.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-22T10:04:42Z,2023-06-20T10:04:41Z,CN=4financestatus.mambu.com,4financestatus.mambu.com,system.status.dvag,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,97b8e40f7324bd420b4c454926db7035,e37ac16177d0159ac09afbd752717f0b03bd02eb1195a744f3b8522b203173bb,ctls,status.mapbox.com,,443,https://status.mapbox.com:443,https,,GET,52.215.192.131,/,-1840324437,52.215.192.131,HSTS,1934,False,,,text/html,,,,
support.mapbox.com,Security check,403,7780,support.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-07T23:50:35Z,2023-08-05T23:50:34Z,CN=support.mapbox.com,support.mapbox.com,support.mapbox.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,113eeae6cd4b9245b9bcf0090e10306f,3e704340309d5f3b514300855bde6287540bc2058c2dac95167e06f6352e476c,ctls,support.mapbox.com,cloudflare,443,https://support.mapbox.com:443,https,cloudflare,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,,text/html,,,https://support.mapbox.com/hc/en-us,
tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,224160,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,80,http://tiles.mapbox.com:80,http,,GET,199.232.192.143,/,71544021,199.232.196.143,Webflow,2201,False,True,,text/html,,https://*.webflow.com,https://www.mapbox.com,
vision.mapbox.com,Vision | Mapbox,200,209227,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,cloudfront,443,https://vision.mapbox.com:443,https,,GET,52.222.214.118,/,-143536607,52.222.214.98,Webflow,2013,False,True,,text/html,,http://webflow.com,https://www.mapbox.com/vision/,
www.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,224160,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,ctls,www.mapbox.com,fastly,443,https://www.mapbox.com:443,https,,GET,199.232.192.143,/,1556104729,199.232.196.143,Webflow,2201,False,True,,text/html,,http://*.webflow.com,,
