input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,cdn,tls_subject_org_,tech_,final_url,tls_self_signed
tickers2.playtech.com,,404,,tickers2.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-05-22T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,cf8732c644ce07d2756d0d7d9fea3187,12f446441962796266952d7beb8780ea04b0054afb5dbb797a7224f28c265a27,True,ctls,tickers2.playtech.com,443,https://tickers2.playtech.com:443,https,,,GET,213.187.229.62,/,-1840324437,213.187.229.62,1,False,,,,HSTS,,
tickers3.playtech.com,,404,,tickers3.playtech.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-05-22T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,cf8732c644ce07d2756d0d7d9fea3187,12f446441962796266952d7beb8780ea04b0054afb5dbb797a7224f28c265a27,True,ctls,tickers3.playtech.com,443,https://tickers3.playtech.com:443,https,,,GET,213.187.229.63,/,-1840324437,213.187.229.63,1,False,,,,HSTS,,
tms.playtech.com,Sign in to your account,200,39385,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://tms.playtech.com:443,https,,text/html,GET,40.68.208.131,/,349507984,40.68.208.131,95,False,azure,True,Microsoft Corporation,HSTS,https://login.microsoftonline.com/4f7d16ef-7616-46a7-9866-fc17a74d8500/oauth2/authorize?response_type=id_token&redirect_uri=https%3A%2F%2Ftms.playtech.com%2F.auth%2Flogin%2Faad%2Fcallback&client_id=b299ccba-2508-420b-b47f-1b4da99e7caf&scope=openid+profile+email&response_mode=form_post&nonce=6e1f76b634aa4b4289cee522429e2dae_20230625050338&state=redir%3D%252F,
translate.playtech.com,Translation Tool,200,2680,translate.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,CN=translate.playtech.com,translate.playtech.com,www.translate.playtech.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",336adb0cc75d8ded20c8172459ebbf4d,504e40765ff48d2a7ea45eb7d4c7cef6e64aaf6bb469a851d8f0188b268d09f1,,ctls,translate.playtech.com,443,https://translate.playtech.com:443,https,,text/html,GET,20.52.134.77,/,-1795674914,20.52.134.77,5,False,azure,True,,Java,,
travels.playtech.com,,200,1401,taseu.combtas.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-15T00:00:00Z,2023-10-16T23:59:59Z,"CN=*.combtas.com, O=ComBTAS Ltd, ST=Central, C=IL",*.combtas.com,combtas.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,6ea459d889953d4684ffbe85dac87300,b370adfb5ffba885778fae8017d3599ed26b3de7170e88ca6385fb160b1a5418,True,ctls,taseu.combtas.com,443,https://travels.playtech.com:443,https,,text/html,GET,176.113.94.164,/,1416441749,176.113.94.164,1,False,,,ComBTAS Ltd,Microsoft ASP.NET,https://taseu.combtas.com/Playtech_Prod/,
vbs-jira.playtech.com,Log in - Videobet Interactive Sweden,200,36625,vbs-jira.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-21T00:00:00Z,2024-02-20T23:59:59Z,CN=vbs-jira.playtech.com,vbs-jira.playtech.com,www.vbs-jira.playtech.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",011ca12d831e67b7edeb99e097f728ac,a7f063d3c0173855afff9df39a7a1ffee55cba974b0fe02fddb4651bbadd72e9,,ctls,vbs-jira.playtech.com,443,https://vbs-jira.playtech.com:443,https,,text/html,GET,20.52.134.77,/,855273746,20.52.134.77,625,False,azure,True,,Java,https://vbs-jira.playtech.com/login.jsp?permissionViolation=true&os_destination=https%3A%2F%2Fvbs-jira.playtech.com%2Fplugins%2Fservlet%2Fmobile%23myjirahome&page_caps=&user_role=USER,
vfs-vpn001.playtech.com,Ivanti Connect Secure,404,3091,vfs-vpn001.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,True,2023-04-05T11:45:12Z,2025-04-04T11:45:12Z,CN=vfs-vpn-admin.pt.playtech.corp,vfs-vpn-admin.pt.playtech.corp,vfs-vpn-admin,"CN=UK-CERT-CA, DC=pt, DC=playtech, DC=corp, DC=pt, DC=playtech, DC=corp",UK-CERT-CA,,e38048f01a7e617cec5ddd900f4ac087,383bf4fb4dd229da34472918787d6bde74a5712fa37c24208c9e04f38feeaf17,,ctls,vfs-vpn001.playtech.com,443,https://vfs-vpn001.playtech.com:443,https,,text/html,GET,176.113.94.135,/,1607565253,176.113.94.135,101,False,,,,HSTS,,
vfs-vpn002.playtech.com,Ivanti Connect Secure,404,3091,vfs-vpn002.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,True,2023-04-05T11:45:12Z,2025-04-04T11:45:12Z,CN=vfs-vpn-admin.pt.playtech.corp,vfs-vpn-admin.pt.playtech.corp,vfs-vpn-admin,"CN=UK-CERT-CA, DC=pt, DC=playtech, DC=corp, DC=pt, DC=playtech, DC=corp",UK-CERT-CA,,e38048f01a7e617cec5ddd900f4ac087,383bf4fb4dd229da34472918787d6bde74a5712fa37c24208c9e04f38feeaf17,,ctls,vfs-vpn002.playtech.com,443,https://vfs-vpn002.playtech.com:443,https,,text/html,GET,176.113.94.136,/,1607565253,176.113.94.136,101,False,,,,HSTS,,
vpn-at.playtech.com,Login,200,4200,vpn-at.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-03-30T00:00:00Z,2024-03-29T23:59:59Z,CN=vpn-at.playtech.com,vpn-at.playtech.com,vpn-at.pbs.one,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,ab311d1bbd0f4bc4a9df589c399b3b15,0a474cdd7d975b183ec19453b9e89198c55b83d70c2b8fb3e79803e86804f589,,ctls,vpn-at.playtech.com,443,https://vpn-at.playtech.com:443,https,,text/html,GET,212.166.106.90,/,-1784403895,212.166.106.90,118,False,,,,HSTS,https://vpn-at.playtech.com/dana-na/auth/url_fHF8O2KrzJ4A5GN9/welcome.cgi,
vpn-au.playtech.com,Login,200,5036,vpn-au.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-06-16T15:08:52Z,2028-12-06T15:08:52Z,"emailAddress=??, CN=vpn-au.playtech.com, OU=??, O=Playtech, L=??, ST=??, C=??, emailAddress=??",vpn-au.playtech.com,,"emailAddress=??, CN=vpn-au.playtech.com, OU=??, O=Playtech, L=??, ST=??, C=??, emailAddress=??",vpn-au.playtech.com,Playtech,fe8a2f20634aa99a5d8a7a6eac840f0c,a7a7b2cbeab0eae1c0d7067b5ad0ec83f5ad2237ddc85f4e278e13659ded2065,,ctls,vpn-au.playtech.com,443,https://vpn-au.playtech.com:443,https,,text/html,GET,180.214.67.116,/,926952704,180.214.67.116,128,False,,,Playtech,HSTS,https://vpn-au.playtech.com/dana-na/auth/url_default/welcome.cgi,True
vpn-bg-1.playtech.com,Login,200,4117,vpn-bg-1.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,vpn-bg-1.playtech.com,443,https://vpn-bg-1.playtech.com:443,https,,text/html,GET,82.146.15.46,/,677736296,82.146.15.46,118,False,,,,HSTS,https://vpn-bg-1.playtech.com/dana-na/auth/url_4/welcome.cgi,
vpn-il.playtech.com,Ivanti Connect Secure,404,3091,vpn-il.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,vpn-il.playtech.com,443,https://vpn-il.playtech.com:443,https,,text/html,GET,178.255.11.21,/,1607565253,178.255.11.21,101,False,,,,HSTS,,
vpn-trt.playtech.com,Ivanti Connect Secure,404,3091,vpn-trt.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,vpn-trt.playtech.com,443,https://vpn-trt.playtech.com:443,https,,text/html,GET,178.255.12.86,/,1607565253,178.255.12.86,101,False,,,,HSTS,,
vpn-ua.playtech.com,Login,200,4749,vpn-ua.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,vpn-ua.playtech.com,443,https://vpn-ua.playtech.com:443,https,,text/html,GET,213.187.248.224,/,1607565253,213.187.248.224,124,False,,,,HSTS,https://vpn-ua.playtech.com/dana-na/auth/url_default/welcome.cgi,
vpn-uk-slo.playtech.com,Ivanti Connect Secure,404,3091,vpn-uk-slo.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,vpn-uk-slo.playtech.com,443,https://vpn-uk-slo.playtech.com:443,https,,text/html,GET,176.113.94.137,/,1607565253,176.113.94.137,101,False,,,,HSTS,,
vpn-uk.playtech.com,Login,200,4165,vpn-uk.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,vpn-uk.playtech.com,443,https://vpn-uk.playtech.com:443,https,,text/html,GET,176.113.94.137,/,1607565253,176.113.94.137,118,False,,,,HSTS,https://vpn-uk.playtech.com/dana-na/auth/url_ZR1vPRSm9X4u2ThM/welcome.cgi,
vpn.playtech.com,Login,200,4582,vpn.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,vpn.playtech.com,443,https://vpn.playtech.com:443,https,,text/html,GET,178.255.12.86,/,1607565253,178.255.12.86,124,False,,,,HSTS,https://vpn.playtech.com/dana-na/auth/url_7/welcome.cgi,
webmail-uk.playtech.com,Sign in to your account,200,41116,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://webmail-uk.playtech.com:443,https,,text/html,GET,20.52.134.77,/,-882818592,20.52.134.77,95,False,azure,True,Microsoft Corporation,HSTS,https://login.microsoftonline.com/4f7d16ef-7616-46a7-9866-fc17a74d8500/oauth2/authorize?response_type=code&client_id=a4efa59f-c596-4cdd-9557-5a3e3d41e7c5&scope=openid&nonce=3909a59a-7d32-4595-a1b3-771258985a8b&redirect_uri=https%3a%2f%2fwebmail-uk.playtech.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fwebmail-uk.playtech.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22988de77e-3639-4fd4-9094-eaa857390717%22%7d%23EndOfStateParam%23&client-request-id=988de77e-3639-4fd4-9094-eaa857390717,
webmail.playtech.com,Sign in to your account,200,41168,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,443,https://webmail.playtech.com:443,https,,text/html,GET,20.52.134.77,/,-1500529363,20.52.134.77,95,False,azure,True,Microsoft Corporation,HSTS,https://login.microsoftonline.com/4f7d16ef-7616-46a7-9866-fc17a74d8500/oauth2/authorize?response_type=code&client_id=59cb271a-3d37-45fc-a75d-52ba07dbab4d&scope=openid&nonce=07824bfe-d03a-4c64-9c11-b4550a15fc5e&redirect_uri=https%3a%2f%2fwebmail.playtech.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fwebmail.playtech.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22b1a93027-c923-451a-839f-0c865c6447bb%22%7d%23EndOfStateParam%23&client-request-id=b1a93027-c923-451a-839f-0c865c6447bb,
www.ar22.playtech.com,Playtech PLC's Annual Report and Acxcounts 2022,200,37039,ar22.playtech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-25T00:14:28Z,2023-09-23T00:14:27Z,CN=ar22.playtech.com,ar22.playtech.com,www.ar22.playtech.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,22dbea1e767731668cd2f9b0540a748d,01908980ee2e6fa1bf75ddf140a459520f7378eae888516607468aac7eda1957,,ctls,ar22.playtech.com,443,https://www.ar22.playtech.com:443,https,,text/html,GET,144.126.200.222,/,-1795674914,144.126.200.222,1057,False,,,,Typekit,https://ar22.playtech.com/,
www.investors.playtech.com,Investors – Playtech,200,24168,,,,,,,,,,,,,,,,,,,,80,http://www.investors.playtech.com:80,http,,text/html,GET,2.16.187.10,/,1274734426,2.16.187.48,363,False,,,,Microsoft ASP.NET,,
www.playtech.com,Playtech - the source of success,200,81743,www.playtech.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,,2023-05-03T00:00:00Z,2024-06-02T23:59:59Z,CN=*.playtech.com,*.playtech.com,playtech.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,c5bb6c78e5a517a9cba7fcf38c160f8b,ab4b5dc9fa4335719cdc6ed7aa7125fbadefb91e5294eede19234598bb6aa45c,True,ctls,www.playtech.com,443,https://www.playtech.com:443,https,,text/html,GET,13.69.8.82,/,-1795674914,13.69.8.82,745,False,azure,True,,Font Awesome,,
