input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url,csp_domains_,location
grafana.woodpecker.co,401 Authorization Required,401,172,grafana.woodpecker.co,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-11T23:59:59Z,CN=*.woodpecker.co,*.woodpecker.co,woodpecker.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,445083ab68c32b57f2224759a30d4a37,0c2aac7cbe555901f3a7be3ba0a1d4e488219b4d7e4066e87cf99fa26a739bd8,True,ctls,grafana.woodpecker.co,,443,https://grafana.woodpecker.co:443,https,nginx,text/html,GET,51.75.62.13,/,-1710455754,51.75.62.13,Nginx,8,False,,,,,,
help.woodpecker.co,Quickstart Vol.1 - Setting up a Cold Email Campaign - Woodpecker,200,106412,woodpecker.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T03:55:33Z,2023-08-05T03:55:32Z,CN=woodpecker.co,woodpecker.co,*.woodpecker.co,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a3f6557485666c63a196e0efd8aba690,919d419c9841692a8a1494e7c660580a70d8ce268f73e923d4acc9ea320027cf,True,ctls,woodpecker.co,cloudflare,443,https://help.woodpecker.co:443,https,cloudflare,text/html,GET,172.66.40.95,/,951751428,2606:4700:3108::ac42:285f,YouTube,1134,False,True,,,https://woodpecker.co/help/quickstart-vol-1-set-up-cold-email-campaign/,,
https://academy.intercom.com,Intercom Academy,200,143206,academy.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-12T23:59:59Z,CN=academy.intercom.com,academy.intercom.com,academy.intercom.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,99cf526357e739168f8d98ab279962bc,e902cb91daf180836dcff8059b873239f6e4e29c28b3bd687fbb841df06f7051,,ctls,academy.intercom.com,cloudfront,443,https://academy.intercom.com:443,https,gunicorn,text/html,GET,18.66.147.11,/,-1857449216,18.66.147.20,gunicorn,2233,False,True,,,,,
https://analytics.google.com,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,analytics.google.com,,443,https://analytics.google.com:443,https,ESF,text/html,GET,142.250.181.238,/,302920777,2001:4860:4802:32::181,HTTP/3,1,False,,,,https://analytics.google.com/analytics/web/,https:,
https://app.au.intercom.com,Intercom | The easiest way to see and talk to your users,200,11697,app.au.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-08T23:59:59Z,CN=*.au.intercom.io,*.au.intercom.io,*.mobile-messenger.au.intercom.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,981caee7c8a24ff7f99d38545198823f,e14f0f455afb8d09022322b2a8ed2cfb8f312f340f2afea2f42d46f57dd1e34d,True,ctls,app.au.intercom.com,,443,https://app.au.intercom.com:443,https,nginx,text/html,GET,13.236.35.115,/,-1840324437,52.63.34.19,Ruby on Rails,236,False,,True,,https://app.au.intercom.com/admins/sign_in,uploads.intercomcdn.eu,
https://app.eu.intercom.com,Intercom | The easiest way to see and talk to your users,200,11665,app.eu.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=*.eu.intercom.io,*.eu.intercom.io,*.intercom-clicks.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1eee4a9e8cfeefc760fd1f82e1cdeef7,c240f5f3b0b1a17c11765a6f1788972ddc95e4eea4b0b3da3c8d042e7ab78199,True,ctls,app.eu.intercom.com,,443,https://app.eu.intercom.com:443,https,nginx,text/html,GET,52.16.147.15,/,-1840324437,54.246.159.8,Ruby on Rails,236,False,,True,,https://app.eu.intercom.com/admins/sign_in,app.getsentry.com,
https://app.intercom.com,Intercom | The easiest way to see and talk to your users,200,12148,app.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-10T23:59:59Z,CN=*.intercom.com,*.intercom.com,intr.cm,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c0951bf8e99caddb8b5fb0a86acd849a,8bb4b251f6aa931b7ca267c21ae35bffa2ce16bf2a329c060ff773b643a91397,True,ctls,app.intercom.com,,443,https://app.intercom.com:443,https,nginx,text/html,GET,34.201.238.158,/,-1840324437,54.87.122.167,Ruby on Rails,245,False,,,,https://app.intercom.com/admins/sign_in,marketing.intercomassets.com,
https://au.intercom.help,Knowledge Base Software | Intercom,200,597168,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://au.intercom.help:443,https,nginx,text/html,GET,76.223.28.196,/,-1840324437,13.248.154.55,Nginx,17,False,,,,https://www.intercom.com/articles,c.6sc.co,
https://connect.facebook.net,Facebook - log in or sign up,200,61559,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,52976d3376f6c71c7a59c4ebfd2ae1d4,de52b11fc0a17cbbdf580d95c791b5cdbf77f79a82e37d8166cf58db0fb459a7,True,ctls,m.facebook.com,,443,https://connect.facebook.net:443,https,,text/html,GET,157.240.251.9,/,-1230285595,2a03:2880:f083:9:face:b00c:0:3,HTTP/3,20,False,,,"Meta Platforms, Inc.",https://m.facebook.com/?wtsid=rdr_0YVIJSbTXNkrLPKpI,www.facebook.com,
https://content.jwplatform.com,,404,15,content.jwplatform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-12-25T23:59:59Z,CN=jwplayer.com,jwplayer.com,bitsontherun.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,56629f85ff47cbbe29d529562b37a68b,bccb8b354c9a81f9d6a42dd4ae88794427d1be2728ad83ef126e8f13a463115a,True,ctls,content.jwplatform.com,cloudfront,443,https://content.jwplatform.com:443,https,openresty,text/plain,GET,18.66.147.26,/,-1179026472,2600:9000:225e:3e00:1:a3fa:7cc0:93a1,OpenResty,2,False,True,True,,,,
https://embed.app.guidde.com,Embed guidde video,200,833,embed.app.guidde.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T08:18:07Z,2023-07-01T08:18:06Z,CN=embed.app.guidde.com,embed.app.guidde.com,embed.app.guidde.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dfae7d84cdf71b7922784cb5bbe789e2,b5d3a47fe50c993fe2cbbe2d0d435cdab95914920ecb1773a1e2b7104a32f937,,ctls,embed.app.guidde.com,google,443,https://embed.app.guidde.com:443,https,Google Frontend,text/html,GET,34.149.248.197,/,1990843168,34.149.248.197,HTTP/3,1,False,True,,,,,
https://fast.wistia.com,,302,90,fast.wistia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-28T00:43:20Z,2023-10-30T00:43:19Z,CN=fast.wistia.com,fast.wistia.com,fast.wistia.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,c54855a881eb4c4908e200ff78b4ecce,8817d9b0f2e4e6d750d7abd642af81b0eab113249be5befc72456779a3e03217,,ctls,fast.wistia.com,fastly,443,https://fast.wistia.com:443,https,envoy,text/html,GET,151.101.130.110,/,837614330,2a04:4e42:600::622,Varnish,1,False,True,,,https://fast.wistia.com/,,https://fast.wistia.com/
https://fast.wistia.net,Sign in to your Wistia account,200,7159,auth.wistia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.wistia.com,*.wistia.com,wistia.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2c9abe91ca067cc6704840d4dd3ed0ab,efed0a3cb3b70c0d3eee3bcb7a563412d55d3249f4f404c0b75bd943e1216e1e,True,ctls,auth.wistia.com,fastly,443,https://fast.wistia.net:443,https,,text/html,GET,151.101.2.110,/,837614330,2a04:4e42:600::622,HSTS,130,False,True,,,https://auth.wistia.com/session/new?app=wistia,,
https://fonts.intercomcdn.com,,403,243,fonts.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,fonts.intercomcdn.com,cloudfront,443,https://fonts.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.97.2,/,-795233218,2600:9000:223c:4c00:10:8536:c280:93a1,HTTP/3,2,False,True,,,,,
https://google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.186.36,/,302920777,2a00:1450:4001:82a::2004,HTTP/3,1831,False,,,,https://marketingplatform.google.com/about/analytics/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,
https://googleadservices.com,Error 404 (Not Found)!!1,404,1561,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:59:59Z,2023-07-17T11:59:58Z,CN=*.googleadservices.com,*.googleadservices.com,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5cd131737674e9399dc250bce3982d2d,15c55d227474ae0ae7c87fe613f6b8eab17533a89d3a0a6a0eb7a5b73e55b61f,True,ctls,googleadservices.com,,443,https://googleadservices.com:443,https,sffe,text/html,GET,172.217.16.194,/,302920777,172.217.16.194,HTTP/3,12,False,,,,,,
https://googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,googletagmanager.com,,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,172.217.18.104,/,302920777,2a00:1450:4001:809::2008,HTTP/3,12,False,,,,,,
https://intercom-help.eu,Knowledge Base Software | Intercom,200,597119,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://intercom-help.eu:443,https,nginx,text/html,GET,15.197.195.197,/,-1840324437,3.33.199.192,Nginx,17,False,,,,https://www.intercom.com/articles,px4.ads.linkedin.com,
https://intercom-sheets.com,Making Internet Business Personal | Intercom,200,969537,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://intercom-sheets.com:443,https,nginx,text/html,GET,52.200.128.147,/,-1840324437,107.22.31.116,Nginx,12,False,,,,https://www.intercom.com/,static.hotjar.io,
https://intercom.help,Knowledge Base Software | Intercom,200,597119,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://intercom.help:443,https,nginx,text/html,GET,76.223.11.64,/,-1840324437,13.248.193.164,Nginx,17,False,,,,https://www.intercom.com/articles,*.google-analytics.com,
https://intercom.skilljar.com,Intercom Academy,200,143206,academy.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-12T23:59:59Z,CN=academy.intercom.com,academy.intercom.com,academy.intercom.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,99cf526357e739168f8d98ab279962bc,e902cb91daf180836dcff8059b873239f6e4e29c28b3bd687fbb841df06f7051,,ctls,academy.intercom.com,,443,https://intercom.skilljar.com:443,https,gunicorn,text/html,GET,52.200.125.202,/,-1857449216,54.84.55.229,gunicorn,2233,False,,,,https://academy.intercom.com/,,
https://intercomrades.au.intercom.com,Intercom | The easiest way to see and talk to your users,200,11697,intercomrades.au.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-08T23:59:59Z,CN=*.au.intercom.io,*.au.intercom.io,*.mobile-messenger.au.intercom.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,981caee7c8a24ff7f99d38545198823f,e14f0f455afb8d09022322b2a8ed2cfb8f312f340f2afea2f42d46f57dd1e34d,True,ctls,intercomrades.au.intercom.com,,443,https://intercomrades.au.intercom.com:443,https,nginx,text/html,GET,13.55.157.185,/,-1840324437,54.79.239.202,Ruby on Rails,236,False,,True,,https://intercomrades.au.intercom.com/admins/sign_in,widget.intercom.io,
https://intercomrades.eu.intercom.com,Intercom | The easiest way to see and talk to your users,200,11665,intercomrades.eu.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=*.eu.intercom.io,*.eu.intercom.io,*.intercom-clicks.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1eee4a9e8cfeefc760fd1f82e1cdeef7,c240f5f3b0b1a17c11765a6f1788972ddc95e4eea4b0b3da3c8d042e7ab78199,True,ctls,intercomrades.eu.intercom.com,,443,https://intercomrades.eu.intercom.com:443,https,nginx,text/html,GET,52.210.147.170,/,-1840324437,54.73.74.93,Ruby on Rails,236,False,,True,,https://intercomrades.eu.intercom.com/admins/sign_in,billing-admin.intercomassets.com,
https://intercomrades.intercom.com,Intercom | The easiest way to see and talk to your users,200,12148,intercomrades.intercom.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-10T23:59:59Z,CN=*.intercom.com,*.intercom.com,intr.cm,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c0951bf8e99caddb8b5fb0a86acd849a,8bb4b251f6aa931b7ca267c21ae35bffa2ce16bf2a329c060ff773b643a91397,True,ctls,intercomrades.intercom.com,,443,https://intercomrades.intercom.com:443,https,nginx,text/html,GET,54.88.91.196,/,-1840324437,3.232.204.131,Ruby on Rails,245,False,,,,https://intercomrades.intercom.com/admins/sign_in,play.vidyard.com,
https://js.intercomcdn.com,,403,255,js.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,js.intercomcdn.com,cloudfront,443,https://js.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.147.49,/,1884722476,18.66.147.5,HTTP/3,2,False,True,,,,,
https://marketing.intercomassets.com,,403,243,marketing.intercomassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-06-15T23:59:59Z,CN=intercomassets.com,intercomassets.com,*.intercomassets.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0540d6f5bcfcfbbf2a120c8d4db51412,7c1d6394c1895b50bb47b60d885e64a57dd583371e28930f6aaa3dc89ecaaba2,True,ctls,marketing.intercomassets.com,cloudfront,443,https://marketing.intercomassets.com:443,https,AmazonS3,application/xml,GET,18.66.122.49,/,-653074789,18.66.122.54,HTTP/3,2,False,True,,,,,
https://marketing.intercomcdn.com,,403,243,marketing.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,marketing.intercomcdn.com,cloudfront,443,https://marketing.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.122.23,/,-1260223556,18.66.122.77,HTTP/3,2,False,True,,,,,
https://platform.twitter.com,,403,243,platform.twitter.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=*.twimg.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",*.twimg.com,cdn.syndication.twimg.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b89b8a2ab46b7ddc0e5a0d72f5c11c3a,e9ca9eb02e6fd611592016f591ed5f40e043c0f6fec128d71de7b167ccfacf09,True,ctls,platform.twitter.com,,443,https://platform.twitter.com:443,https,AmazonS3,application/xml,GET,93.184.220.66,/,-594605748,2606:2800:234:59:254c:406:2366:268c,Amazon Web Services,2,False,,True,"Twitter, Inc.",,,
https://play.vidyard.com,,200,,play.vidyard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T21:42:16Z,2023-10-29T21:42:15Z,CN=*.vidyard.com,*.vidyard.com,*.vidyard.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,53d589fb3f4fde18724d8d400efe4f82,db97819c1e66551e830985fb3bfaee7898fc3b4be8da551bc62c27def754b528,True,ctls,play.vidyard.com,fastly,443,https://play.vidyard.com:443,https,,,GET,151.101.1.181,/,1988711852,151.101.193.181,Varnish,1,False,True,,,,,
https://player.vimeo.com,Features and Tools | Vimeo,200,143693,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,True,ctls,vimeo.com,cloudflare,443,https://player.vimeo.com:443,https,cloudflare,text/html,GET,162.159.128.61,/,1154390870,162.159.138.60,Varnish,1065,False,True,,"Cloudflare, Inc.",https://vimeo.com/features,https:,
https://players.brightcove.net,,404,372,players.brightcove.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,"CN=players.brightcove.net, O=Brightcove Inc, L=Boston, ST=Massachusetts, C=US",players.brightcove.net,players.brightcove.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,301d15970a95163ea9e2ffa3cf4331a7,ba65473e8ba5af7f676e145c06416d7081280ff9a6e0f07fa4f37b3b1f69aeb4,,ctls,players.brightcove.net,,443,https://players.brightcove.net:443,https,AmazonS3,text/html,GET,184.30.17.24,/,908562264,184.30.17.24,Amazon Web Services,18,False,,,Brightcove Inc,,,
https://share.descript.com,"Descript | All-in-one video & podcast editing, easy as a doc.",200,58855,www.descript.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:34:09Z,2023-08-01T19:24:20Z,CN=descript.com,descript.com,blog.descript.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,b1a795c2b64d655b6db61263320e5344,6b7a961689fdca667b1dcb92b8b30380f148f717f8581667b416bba5da160305,,ctls,www.descript.com,google,443,https://share.descript.com:443,https,nginx/1.21.3,text/html,GET,34.95.113.47,/,-1099477002,34.95.113.47,Webflow,165,False,True,,,https://www.descript.com,http://webflow.com,
https://share.synthesia.io,Synthesia STUDIO,200,155523,share.synthesia.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2024-04-24T23:59:59Z,CN=*.synthesia.io,*.synthesia.io,*.share.synthesia.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fb10491226e8df2f6b2d9405de6b7fbf,55d36a1cce92f484261616895909dbec0d86ca139359f31f3165bd4706da190e,True,ctls,share.synthesia.io,cloudfront,443,https://share.synthesia.io:443,https,,text/html,GET,18.66.147.37,/,-2010785863,18.66.147.63,webpack,852,False,True,,,,,
https://static.au.intercomassets.com,,403,243,static.au.intercomassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-08T23:59:59Z,CN=*.au.intercom.io,*.au.intercom.io,*.mobile-messenger.au.intercom.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dcd79c421952aeccf3eb988af436a7c1,4e30cfc79b6d728f32da4dfe382998429b9db79f4f182d95e71b9dc03645fb55,True,ctls,static.au.intercomassets.com,cloudfront,443,https://static.au.intercomassets.com:443,https,AmazonS3,application/xml,GET,108.138.17.129,/,-225352613,108.138.17.126,HTTP/3,2,False,True,True,,,,
https://static.intercomassets.com,,403,243,static.intercomassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-06-15T23:59:59Z,CN=intercomassets.com,intercomassets.com,*.intercomassets.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0540d6f5bcfcfbbf2a120c8d4db51412,7c1d6394c1895b50bb47b60d885e64a57dd583371e28930f6aaa3dc89ecaaba2,True,ctls,static.intercomassets.com,cloudfront,443,https://static.intercomassets.com:443,https,AmazonS3,application/xml,GET,13.225.78.101,/,-402512251,13.225.78.32,HTTP/3,2,False,True,,,,,
https://static.intercomassets.eu,,403,243,static.intercomassets.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=*.eu.intercom.io,*.eu.intercom.io,*.intercom-attachments.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5619589c0e60e08960ee65566fb8d7a7,b1b5cc314a8ce4991b70d8a1c0804dab55f943816a7f3051668830ea5ab32fce,True,ctls,static.intercomassets.eu,cloudfront,443,https://static.intercomassets.eu:443,https,AmazonS3,application/xml,GET,108.156.60.75,/,661830113,108.156.60.16,HTTP/3,2,False,True,True,,,,
https://static.intercomcdn.com,,403,243,static.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,static.intercomcdn.com,cloudfront,443,https://static.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.147.86,/,1202655581,18.66.147.34,HTTP/3,2,False,True,,,,,
https://staticxx.facebook.com,,404,9,staticxx.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-05-30T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,52976d3376f6c71c7a59c4ebfd2ae1d4,de52b11fc0a17cbbdf580d95c791b5cdbf77f79a82e37d8166cf58db0fb459a7,True,ctls,staticxx.facebook.com,,443,https://staticxx.facebook.com:443,https,,text/html,GET,157.240.251.9,/,142313513,2a03:2880:f083:9:face:b00c:0:3,HTTP/3,1,False,,,"Meta Platforms, Inc.",,*.whatsapp.net,
