input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tech_,tls_wildcard_certificate,final_url,cdn_name,cdn,tls_expired,csp_domains_
origin-secure.yatra.com,"Flight, Cheap Air Tickets , Hotels, Holiday, Trains Package Booking - Yatra.com",200,165655,origin-secure.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-10-19T23:59:59Z,"CN=yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN",yatra.com,Yatra Online Limited,*.yatracdn.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,822dbdededd42b83da8e6eaf162077e5,0f8705b674fd133ba14bffae72e5326916b5f088148888115d02df62ec6cced6,ctls,origin-secure.yatra.com,443,https://origin-secure.yatra.com:443,https,,text/html,GET,202.87.58.90,/,-1097984059,202.87.58.90,1526,False,,Java,True,,,,,
origin-www.yatra.com,"Flight, Cheap Air Tickets , Hotels, Holiday, Trains Package Booking - Yatra.com",200,165733,origin-www.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-10-19T23:59:59Z,"CN=yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN",yatra.com,Yatra Online Limited,*.yatracdn.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,822dbdededd42b83da8e6eaf162077e5,0f8705b674fd133ba14bffae72e5326916b5f088148888115d02df62ec6cced6,ctls,origin-www.yatra.com,443,https://origin-www.yatra.com:443,https,,text/html,GET,202.87.58.20,/,-1097984059,202.87.58.20,1526,False,,Java,True,,,,,
packages.yatra.com,"Flight, Cheap Air Tickets , Hotels, Holiday, Trains Package Booking - Yatra.com",200,165655,packages.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,packages.yatra.com,443,https://packages.yatra.com:443,https,,text/html,GET,104.102.41.107,/,-1097984059,104.102.41.107,1526,False,,Google Tag Manager,,,,,,
partner-reporting.yatra.com,"Travelguru.com: 60,000+ Hotels In India across 1,100+ Cities with Hotel Reviews",200,96290,partner-reporting.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,partner-reporting.yatra.com,443,https://partner-reporting.yatra.com:443,https,,text/html,GET,184.31.86.154,/,2139309383,2a02:26f0:3500:88e::2d03,1317,False,,prettyPhoto,,,,,,
partner.yatra.com,Yatra Partner Programme,200,9793,partner.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,partner.yatra.com,443,https://partner.yatra.com:443,https,,text/html,GET,184.31.86.154,/,-154264564,2a02:26f0:3500:895::2d03,162,False,,Java,,,,,,
partners-api.yatra.com,Internal Server Error,500,284,partners-api.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,partners-api.yatra.com,443,https://partners-api.yatra.com:443,https,AkamaiGHost,text/html,GET,104.102.41.107,/,-1097984059,2a02:26f0:480:5a2::2d03,9,False,,,,,,,,
partners.yatra.com,"Flight, Cheap Air Tickets , Hotels, Holiday, Trains Package Booking - Yatra.com",200,165655,partners.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,partners.yatra.com,443,https://partners.yatra.com:443,https,,text/html,GET,104.102.41.107,/,,2a02:26f0:480:5ad::2d03,1526,False,,Google Tag Manager,,,,,,
secureqa.yatra.com,Access Denied,403,267,secureqa.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,secureqa.yatra.com,443,https://secureqa.yatra.com:443,https,AkamaiGHost,text/html,GET,184.31.86.154,/,654594512,2a02:26f0:3500:88e::2d03,10,False,,,,,,,,
securerfs.yatra.com,Access Denied,403,268,securerfs.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,securerfs.yatra.com,443,https://securerfs.yatra.com:443,https,AkamaiGHost,text/html,GET,184.31.86.154,/,1119220114,2a02:26f0:3500:895::2d03,10,False,,,,,,,,
smavpn.yatra.com,WorkPlace,200,3816,smavpn.yatra.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T00:00:00Z,2023-08-09T23:59:59Z,CN=smavpn.yatra.com,smavpn.yatra.com,,www.smavpn.yatra.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",16cf476797384b4e91aa3cd84dcdb098,bb7afe8af94ea468a0f127fedda892ffabff06fec0a47b7579fbbb022e29c45a,ctls,smavpn.yatra.com,443,https://smavpn.yatra.com:443,https,SMA/12.4,text/html,GET,203.112.149.153,/,-780928015,203.112.149.153,70,False,,,,https://smavpn.yatra.com/__extraweb__EPCmicrointerrogatorpage?success=%2F__extraweb__EPCmicrointerrogatordata%3Fsuccess%3D%252F__extraweb__realmform%253Fresource%253D%25252Fworkplace%25252Faccess%25252Fhome%2526alias%253Dworkplace%2526r0%253D144%2526r1%253D145%2526r2%253D153%2526r3%253D152%2526r4%253D161%2526r5%253D162%2526r6%253D167%2526r7%253D169%2526r8%253D170%2526r9%253D172%2526r10%253D176%2526r11%253D179%2526r12%253D180%26alias%3Dworkplace&alias=workplace,,,,
tech.yatra.com,Technology Careers & Job Opportunities at Yatra.com,200,212571,tech.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,tech.yatra.com,443,https://tech.yatra.com:443,https,,text/html,GET,184.31.86.154,/,-70235092,2a02:26f0:3500:88e::2d03,3339,False,,YouTube,,,,,,
tsi.yatra.com,Access Denied,403,223,tsi.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,tsi.yatra.com,443,https://tsi.yatra.com:443,https,AkamaiGHost,text/html,GET,104.102.41.107,/,503278473,104.102.41.107,10,False,True,,,,,,,
vpn.yatra.com,,200,315,vpn.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=vpn.yatra.com, O=Yatra Online Pvt. Ltd, L=Gurugram, ST=Haryana, C=IN",vpn.yatra.com,Yatra Online Pvt. Ltd,www.vpn.yatra.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,e326f0df21dbd9e685295c2633fdf155,4b51f51205d42e8d3928d04a3baac19cbcc200af55063a75fb443b9f2e9e363d,ctls,vpn.yatra.com,443,https://vpn.yatra.com:443,https,,text/html,GET,202.87.35.74,/,-1840324437,202.87.35.74,9,False,,HSTS,,,,,,
wecare.yatra.com,Log in,200,7905,app.convercent.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-05T07:10:41Z,2024-01-06T07:10:41Z,CN=*.convercent.com,*.convercent.com,,convercent.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b94aba42c22d33c3bd17161ffee3c1c,9b2c4f55236a95f5ec1dff0cf81dd564f3df22952dec601c7f16d764037697ac,ctls,app.convercent.com,443,https://wecare.yatra.com:443,https,,text/html,GET,104.102.41.107,/,-351222103,104.102.41.107,162,False,,HSTS,True,https://app.convercent.com/en-us/Account/Login?returnUrl=%2F,,,,
www.tech.yatra.com,Technology Careers & Job Opportunities at Yatra.com,200,212571,tech.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,tech.yatra.com,443,https://www.tech.yatra.com:443,https,,text/html,GET,88.221.63.144,/,-70235092,2a02:26f0:480:5ad::2d03,3339,False,,YouTube,,https://tech.yatra.com,,,,
ytauth.yatra.com,Not Found,404,315,ytauth.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-27T00:00:00Z,2023-10-19T23:59:59Z,"CN=yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN",yatra.com,Yatra Online Limited,*.yatracdn.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,822dbdededd42b83da8e6eaf162077e5,0f8705b674fd133ba14bffae72e5326916b5f088148888115d02df62ec6cced6,ctls,ytauth.yatra.com,443,https://ytauth.yatra.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,202.87.58.17,/,225052475,202.87.58.17,7,False,,Microsoft HTTPAPI:2.0,True,,,,,
