input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_wildcard_certificate,webserver,tls_mismatched,tls_subject_org_,tech_,csp_domains_,final_url
onboarding.integrations.zego.com,,200,23121,onboarding.integrations.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,onboarding.integrations.zego.com,cloudflare,443,https://onboarding.integrations.zego.com:443,https,text/html,GET,172.66.43.90,/,762514910,2606:4700:3108::ac42:2b5a,1,False,True,True,cloudflare,True,"Cloudflare, Inc.",webpack,,
onboarding.staging.zego.com,Homepage - UK,200,157671,onboarding.staging.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,onboarding.staging.zego.com,cloudflare,443,https://onboarding.staging.zego.com:443,https,text/html,GET,172.66.40.166,/,-2138985963,2606:4700:3108::ac42:2b5a,33,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,
onboarding.zego.com,Homepage - UK,200,226098,onboarding.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,onboarding.zego.com,cloudflare,443,https://onboarding.zego.com:443,https,text/html,GET,172.66.43.90,/,538896983,2606:4700:3108::ac42:28a6,49,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,
options.zego.com,Anmelden – Google Konten,200,118164,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,cloudflare,443,https://options.zego.com:443,https,text/html,GET,172.66.40.166,/,-1129569827,2606:4700:3108::ac42:2b5a,1931,False,True,True,GSE,,,OpenGSE,,https://accounts.google.com/InteractiveLogin?continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser%3Dunknown%26part%3DAJi8hANGxZMrdftup2l9xivaSorZoALneGp6Mj9QdY3AdSymsbOZR_rTGVXcLZPBswr-Mw1suWBwcjb1X09TGnqCdVXdKjZHRNt3Cx2tvH2071SgzTIB1B4Ss_t8oYpMcSxhSxPqiJsvU2-8SDFMj2eWOrAYbtnciehVRmNfkWlkteiVPKdppDQF-z5tm1isGqpyRCMnS3tCsQV4rMAGnvTT_wSIhANj6G2AU9FPsYSdepvBIPFmPC1VxPSePKkMK9KE1VdNYIIiDh7EZEIAQaIt0i_RXRaz2w0PtqWT4M_D1ooXFl0ZvRJ3b6_rjZVFdyubGc_izV77A3KvXzo16xOGwajB4kpC2F2A2wFN9pSQGoufRqKhoSEdukGBn23ZMoHsCdNLHU8SQJNFABVJ9C6dEPKTdt_7QDdIUKwL6VCiSaUdwgwwWeUWLmd6NwaKE7sw1Oh0eztMyOU04-Fw4j7CMd3BYBNwtQ%26as%3DS604083786%253A1684785527302277%26client_id%3D716211749038-gqolecsi6m3ifansdfv10lp1ktjom2b8.apps.googleusercontent.com%23&oauth=1&rip=1&sacu=1&ifkv=Af_xneEHLNeZtnrKqKbJ_tbC8tzvq8_xYd_Cy68QmUXoxm7cnUO8ANPyVoZkaIvlXB2ew8JZvYbp
payouts.production-aws.zegocover.com,,404,,payouts.production-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-27T23:59:59Z,CN=production-aws.zegocover.com,production-aws.zegocover.com,*.production-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,209749231d5f6729d1ac7ad2fb980939,58bc60cf41752ad3e09598acbcf43a43f8f3872e8e63860d55467725aa344492,ctls,payouts.production-aws.zegocover.com,,443,https://payouts.production-aws.zegocover.com:443,https,,GET,18.203.21.146,/,-1840324437,54.171.84.172,1,False,,True,istio-envoy,,,,,
payouts.staging-aws.zegocover.com,,404,,payouts.staging-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-27T23:59:59Z,CN=staging-aws.zegocover.com,staging-aws.zegocover.com,*.staging-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7717b37e338c687aa55291dcc006b6ec,4455f65df9276e57fa4365430fc8f0f992bffa632bebf20e9c4b9703348d3192,ctls,payouts.staging-aws.zegocover.com,,443,https://payouts.staging-aws.zegocover.com:443,https,,GET,52.215.202.136,/,-1840324437,52.215.202.136,1,False,,True,istio-envoy,,,,,
production.zegocover.com,Homepage - UK,200,224877,production.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zegocover.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6cd3724912891b08780087cedaa3a74c,197d62f39ef1e283bbafac8d621f81d8db57511a229238b473e5f60b7ac9af35,ctls,production.zegocover.com,cloudflare,443,https://production.zegocover.com:443,https,text/html,GET,104.18.15.10,/,-781965114,2606:4700::6812:f0a,49,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,
salesforce.zego.com,,401,30,salesforce.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,salesforce.zego.com,cloudflare,443,https://salesforce.zego.com:443,https,application/json,GET,172.66.43.90,/,2125685474,2606:4700:3108::ac42:28a6,1,False,True,True,cloudflare,,"Cloudflare, Inc.",HSTS,,
sandbox.zego.com,Origin DNS error | sandbox.zego.com | Cloudflare,530,6198,sandbox.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,sandbox.zego.com,cloudflare,443,https://sandbox.zego.com:443,https,text/html,GET,172.66.43.90,/,-1739279047,2606:4700:3108::ac42:2b5a,93,False,True,True,cloudflare,,"Cloudflare, Inc.",Cloudflare,,
staging.zego.com,Homepage - UK,200,157671,staging.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,staging.zego.com,cloudflare,443,https://staging.zego.com:443,https,text/html,GET,172.66.40.166,/,-583141874,2606:4700:3108::ac42:28a6,33,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,
staging.zegocover.com,Homepage - UK,200,157647,staging.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,staging.zego.com,cloudflare,443,https://staging.zegocover.com:443,https,text/html,GET,104.18.14.10,/,269740947,2606:4700::6812:f0a,33,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,https://staging.zego.com/
static.zego.com,,403,243,static.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-01-24T23:59:59Z,CN=static.zego.com,static.zego.com,static.zego.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,174863d69de232bbf4aaaa4a0c0687a5,d48dfbf9330ef43b26af58514cb841c75e08fffd8af14c8ad03715304b40ef5c,ctls,static.zego.com,cloudfront,443,https://static.zego.com:443,https,application/xml,GET,99.86.4.95,/,-502844871,99.86.4.129,2,False,True,,AmazonS3,,,Amazon Web Services,,
support.zego.com,Zego Support,200,106676,support.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,support.zego.com,cloudflare,443,https://support.zego.com:443,https,text/html,GET,172.66.40.166,/,1433417005,2606:4700:3108::ac42:28a6,640,False,True,True,cloudflare,,"Cloudflare, Inc.",HSTS,https://zegouk.my.salesforce-scrt.com,https://support.zego.com/s/
telematics-main-api.production-aws.zegocover.com,,200,4,telematics-main-api.production-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-27T23:59:59Z,CN=production-aws.zegocover.com,production-aws.zegocover.com,*.production-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,209749231d5f6729d1ac7ad2fb980939,58bc60cf41752ad3e09598acbcf43a43f8f3872e8e63860d55467725aa344492,ctls,telematics-main-api.production-aws.zegocover.com,,443,https://telematics-main-api.production-aws.zegocover.com:443,https,application/json,GET,54.217.229.142,/,-1840324437,34.242.23.191,1,False,,True,zego,,,HSTS,,
telematics-main-api.staging-aws.zegocover.com,,200,4,telematics-main-api.staging-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-27T23:59:59Z,CN=staging-aws.zegocover.com,staging-aws.zegocover.com,*.staging-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7717b37e338c687aa55291dcc006b6ec,4455f65df9276e57fa4365430fc8f0f992bffa632bebf20e9c4b9703348d3192,ctls,telematics-main-api.staging-aws.zegocover.com,,443,https://telematics-main-api.staging-aws.zegocover.com:443,https,application/json,GET,52.31.77.6,/,-1840324437,18.200.217.183,1,False,,True,zego,,,HSTS,,
uber.zego.com,Uber Approved Insurance For Private Hire Taxi Drivers,200,116995,www.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,www.zego.com,cloudflare,443,https://uber.zego.com:443,https,text/html,GET,172.66.43.90,/,198688267,2606:4700:3108::ac42:28a6,29,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,https://www.zego.com/private-hire/uber-driver-insurance/
v3.api.zego.com,Zego API v3,200,4116,v3.api.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,v3.api.zego.com,cloudflare,443,https://v3.api.zego.com:443,https,text/html,GET,172.66.40.166,/,2125685474,2606:4700:3108::ac42:28a6,52,False,True,True,cloudflare,True,"Cloudflare, Inc.",React,,https://v3.api.zego.com/docs
www.zego.com,Homepage - UK,200,226098,www.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,www.zego.com,cloudflare,443,https://www.zego.com:443,https,text/html,GET,172.66.40.166,/,1227770432,2606:4700:3108::ac42:2b5a,49,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,
www.zegocover.com,Homepage - UK,200,226098,www.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,www.zego.com,cloudflare,443,https://www.zegocover.com:443,https,text/html,GET,104.18.15.10,/,-428371239,2606:4700::6812:f0a,49,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,https://www.zego.com/
zego.com,Homepage - UK,200,226098,www.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,www.zego.com,cloudflare,443,https://zego.com:443,https,text/html,GET,172.66.40.166,/,-1544235804,2606:4700:3108::ac42:2b5a,49,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,https://www.zego.com/
zegocover.com,Homepage - UK,200,226098,www.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,www.zego.com,cloudflare,443,https://zegocover.com:443,https,text/html,GET,104.18.14.10,/,622330681,2606:4700::6812:f0a,49,False,True,True,cloudflare,,"Cloudflare, Inc.",webpack,,https://www.zego.com/
zendesk1.zego.com,,403,16,zendesk1.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,zendesk1.zego.com,cloudflare,443,https://zendesk1.zego.com:443,https,text/plain,GET,162.159.128.7,/,,162.159.138.6,1,False,True,True,cloudflare,,"Cloudflare, Inc.",HSTS,,
zendesk2.zego.com,,403,16,zendesk2.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,zendesk2.zego.com,cloudflare,443,https://zendesk2.zego.com:443,https,text/plain,GET,162.159.138.6,/,,162.159.128.7,1,False,True,True,cloudflare,,"Cloudflare, Inc.",HSTS,,
zendesk2.zegocover.com,,403,16,zendesk2.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zegocover.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6cd3724912891b08780087cedaa3a74c,197d62f39ef1e283bbafac8d621f81d8db57511a229238b473e5f60b7ac9af35,ctls,zendesk2.zegocover.com,cloudflare,443,https://zendesk2.zegocover.com:443,https,text/plain,GET,162.159.138.6,/,,162.159.128.7,1,False,True,True,cloudflare,,"Cloudflare, Inc.",Cloudflare,,
zendesk3.zego.com,,403,16,zendesk3.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,zendesk3.zego.com,cloudflare,443,https://zendesk3.zego.com:443,https,text/plain,GET,162.159.128.7,/,,162.159.138.6,1,False,True,True,cloudflare,,"Cloudflare, Inc.",HSTS,,
zendesk4.zego.com,,403,16,zendesk4.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,zendesk4.zego.com,cloudflare,443,https://zendesk4.zego.com:443,https,text/plain,GET,162.159.128.7,/,,162.159.138.6,1,False,True,True,cloudflare,,"Cloudflare, Inc.",HSTS,,
zendesk4.zegocover.com,,403,16,zendesk4.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zegocover.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6cd3724912891b08780087cedaa3a74c,197d62f39ef1e283bbafac8d621f81d8db57511a229238b473e5f60b7ac9af35,ctls,zendesk4.zegocover.com,cloudflare,443,https://zendesk4.zegocover.com:443,https,text/plain,GET,162.159.128.7,/,,162.159.138.6,1,False,True,True,cloudflare,,"Cloudflare, Inc.",Cloudflare,,
