new,host,ttl,a,aaaa,soa,status_code,mx,ns,txt,cname,caa
[x],scan.lachain.io,300,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],selenium.lachain.io,300,,"2a06:98c1:3121::3, 2a06:98c1:3120::3","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],staging.lachain.io,300,,"2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-bridge-balancer1.lachain.io,300,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-bridge1.lachain.io,300,"188.114.96.3, 188.114.97.3",,"{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-fee.lachain.io,300,,"2a06:98c1:3121::4, 2a06:98c1:3120::4","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-hv.lachain.io,1800,,,"{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-relayer.lachain.io,300,"188.114.97.3, 188.114.96.3",,"{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-relayer1.lachain.io,300,"188.114.96.0, 188.114.97.0","2606:4700:3031::6815:23e4, 2606:4700:3036::ac43:b458","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-relayer3.lachain.io,300,"188.114.97.3, 188.114.96.3","2606:4700:3031::6815:23e4, 2606:4700:3036::ac43:b458","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-relayer4.lachain.io,300,"188.114.96.11, 188.114.97.11","2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-relayer5.lachain.io,1792,,,"{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-relayer6.lachain.io,300,,"2a06:98c1:3121::3, 2a06:98c1:3120::3","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test-relayer7.lachain.io,300,"104.21.35.228, 172.67.180.88","2606:4700:3031::6815:23e4, 2606:4700:3036::ac43:b458","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],test.ladex.exchange,300,"172.67.178.103, 104.21.83.161","2606:4700:3030::ac43:b267, 2606:4700:3034::6815:53a1","{'name': 'ladex.exchange', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334498009, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'ladex.exchange', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334498009, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'ladex.exchange', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334498009, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'ladex.exchange', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334498009, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],testnet-graph-node.lachain.io,300,"104.21.35.228, 172.67.180.88","2a06:98c1:3121::, 2a06:98c1:3120::","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],wallet.lachain.io,300,"104.21.35.228, 172.67.180.88",,"{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],www.lachain.io,300,"188.114.96.3, 188.114.97.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lachain.io', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2333451642, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],www.ladex.exchange,300,"104.21.83.161, 172.67.178.103","2606:4700:3030::ac43:b267, 2606:4700:3034::6815:53a1","{'name': 'ladex.exchange', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334498009, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'ladex.exchange', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334498009, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'ladex.exchange', 'ns': 'hazel.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334498009, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
